id,loc1,datetime1,loc2,datetime2,stops,distance,details,price,hot deal
12725368," Grand Rapids, MI"," Jan 17, 08:00 AM  -  12:00 PM EDT "," Brampton, ON "," Jan 18, 09:00 AM EST",,deadhead - distance342.5 mi, drop and hook Van - 53 Feet40528 LB Consumer Goods,bid only,no
12725042," Pleasant Hill, MO"," Jan 17, 07:00 AM  -  03:00 PM CDT "," Orangeburg, SC "," Jan 19, 08:00 AM  -  08:00 AM EDT ",,deadhead - distance1029.9 mi, live Van - 53 Feet14500 LB Equipment," $1,975.47 ",no
12723992," Lumber City, GA"," Jan 17, 08:00 AM  -  03:00 PM EDT "," Shallotte, NC "," Jan 19, 08:00 AM  -  04:00 PM EDT ", 2 STOPS ,deadhead - distance364.6 mi, live Van36019 LB Consumer Goods,bid only,no
12723965," Lumber City, GA"," Jan 17, 08:00 AM  -  03:00 PM EDT "," Fayetteville, NC "," Jan 18, 08:00 AM  -  04:00 PM EDT ", 2 STOPS ,deadhead - distance378 mi, live Van35063 LB Consumer Goods,bid only,no
12723171," Hersey, MI"," Jan 17, 08:00 AM  -  06:00 PM EDT "," Rome, NY "," Jan 18, 08:30 AM EDT",,deadhead - distance592.1 mi, live Van - 53 Feet44004 LB Salt," $2,339.73 ",yes
12722921," Hersey, MI"," Jan 17, 08:00 AM  -  06:00 PM EDT "," Watkins Glen, NY "," Jan 19, 07:00 AM EDT",,deadhead - distance541.5 mi, live Van - 53 Feet44004 LB Salt," $2,141.70 ",yes
12722910," Hersey, MI"," Jan 17, 08:00 AM  -  06:00 PM EDT "," Watkins Glen, NY "," Jan 19, 09:00 AM EDT",,deadhead - distance541.5 mi, live Van - 53 Feet44004 LB Salt," $2,141.70 ",yes
12721976," Fort Wayne, IN"," Jan 17, 08:00 AM  -  05:00 PM EDT "," New Baltimore, MI "," Jan 17, 10:30 PM EDT",,deadhead - distance206.3 mi, live Van - 53 Feet35901 LB Food Stuffs, $683.06 ,no
12720712," Webb City, MO"," Jan 17, 08:00 AM  -  03:00 PM CDT "," Halifax, VA "," Jan 19, 07:00 AM  -  08:00 PM EDT ",,deadhead - distance1034.8 mi, live Van or Reefer - 5344000 LB Food Stuffs," $2,297.53 ",yes
12720641," Carlisle, IA"," Jan 17, 07:00 AM  -  07:00 PM CDT "," Baraboo, WI "," Jan 18, 09:00 AM CDT",,deadhead - distance306.8 mi, live Van - 53 Feet43501 LB Food Stuffs," $1,006.38 ",no
12717704," Fargo, ND"," Jan 17, 07:00 AM  -  04:00 PM CDT "," Batavia, IL "," Jan 19, 12:00 PM CDT",,deadhead - distance618.5 mi, live Large Straight10300 LB Food Stuffs,quick bid,no
12716258," Welland, ON"," Jan 17, 08:00 AM  -  02:00 PM EST "," Philadelphia, PA "," Jan 18, 08:00 AM  -  04:00 PM EDT ",,deadhead - distance423.2 mi, live Flatbed w/Tarps43695 LB Sheets Of Stee...," $1,272.08 ",no
12714517," Minneapolis, MN"," Jan 17, 07:00 AM  -  03:00 PM CDT "," Valparaiso, IN "," Jan 18, 06:00 AM CDT",,deadhead - distance466.5 mi, live Van - 53 Feet44500 LB Bales, $847.64 ,yes
12712531," Muskogee, OK"," Jan 17, 07:00 AM  -  09:00 AM CDT "," Orrville, OH "," Jan 18, 01:00 PM EDT",,deadhead - distance930.2 mi, live Van - 53 Feet42953 LB Freight Of All...," $1,709.90 ",yes
12711232," Avon, MA"," Jan 17, 08:00 AM  -  02:00 PM EDT "," Wapakoneta, OH "," Jan 18, 10:00 AM EDT",,deadhead - distance796.9 mi, live Van - 53 Feet44000 LB Bales," $1,124.68 ",no
12707608," Grand Rapids, MI"," Jan 17, 08:00 AM  -  12:00 PM EDT "," Brampton, ON "," Jan 18, 11:00 AM EST",,deadhead - distance342.5 mi, live Van - 53 Feet12891 LB Consumer Goods,bid only,no
12706644," Coleman, MI"," Jan 17, 08:00 AM  -  02:00 PM EDT "," Atlanta, GA "," Jan 19, 05:30 AM EDT",,deadhead - distance831 mi, live Van - 53 Feet27255 LB Packaging Mate...," $2,014.81 ",no
12701112," Coleman, MI"," Jan 17, 08:00 AM  -  02:00 PM EDT "," Atlanta, GA "," Jan 19, 08:30 AM EDT",,deadhead - distance831 mi, live Van - 53 Feet27765 LB Packaging Mate...," $1,995.92 ",no
12692122," Jonesboro, AR"," Jan 17, 08:00 AM CDT"," Swedesboro, NJ "," Jan 19, 08:00 AM EDT",,deadhead - distance1067.5 mi, live Van14042 LB Plastics," $2,429.42 ",no
12738669," Seabrook, TX"," Jan 17, 07:30 AM  -  03:30 PM CDT "," Sunnyvale, TX "," Jan 18, 05:12 PM CDT",,deadhead - distance269.3 mi, live Van or Reefer - 5343600 LB Building Mater..., $647.27 ,no
12738665," Sulphur, LA"," Jan 17, 07:30 AM  -  11:00 AM CDT "," Dayton, NV "," Jan 20, 08:00 AM  -  04:00 PM PDT ",,deadhead - distance1964.8 mi, live Van - 53 Feet28273 LB Consumer Goods," $3,468.20 ",yes
12734126," Sulphur, LA"," Jan 17, 07:30 AM  -  11:00 AM CDT "," Winnipeg, MB "," Jan 20, 07:00 AM CST",,deadhead - distance1516.5 mi, live Van - 53 Feet42410 LB Consumer Goods," $2,376.26 ",no
12722896," Ridgway, IL"," Jan 17, 07:30 AM  -  03:00 PM CDT "," Clay, KY "," Jan 17, 08:00 AM  -  03:00 PM CDT ",,deadhead - distance41.5 mi, live Van34999 LB Palletized See..., $325.92 ,no
12719815," Pine Bluff, AR"," Jan 17, 07:30 AM  -  02:00 PM CDT "," Summerdale, AL "," Jan 18, 08:00 AM  -  04:00 PM CDT ", 2 STOPS ,deadhead - distance544 mi, live Van44000 LB Consumer Goods,bid only,no
12712163," Henderson, KY"," Jan 17, 07:30 AM  -  02:30 PM CDT "," Memphis, TN "," Jan 18, 08:00 AM  -  02:00 PM CDT ",,deadhead - distance274.7 mi, live Van or Reefer Hazmat22050 LB Sulfuric Acid ..., $792.58 ,no
12706305," Sulphur, LA"," Jan 17, 07:30 AM  -  11:00 AM CDT "," Winter Garden, FL "," Jan 19, 08:00 AM  -  04:00 PM EDT ",,deadhead - distance806.4 mi, live Van - 53 Feet41692 LB Consumer Goods," $1,951.62 ",no
12745024," Charlotte, NC"," Jan 17, 09:00 AM  -  02:30 PM EDT "," Kernersville, NC "," Jan 18, 11:11 AM EDT",,deadhead - distance87.8 mi, live Flatbed - 5345000 LB Crushed Cars, $369.17 ,no
12744926," Shreveport, LA"," Jan 17, 08:00 AM  -  01:00 PM CDT "," Oxford, AL "," Jan 18, 09:00 AM  -  Jan 19, 04:00 PM CDT ", 2 STOPS ,deadhead - distance552 mi, live Van25000 LB Automotive Fre...," $1,293.24 ",no
12744274," Circleville, OH"," Jan 17, 09:00 AM EDT"," Perth Amboy, NJ "," Jan 18, 09:00 AM EDT",,deadhead - distance526 mi, live Van20118 LB Paper," $1,445.18 ",no
12744181," Alsip, IL"," Jan 17, 08:00 AM  -  03:00 PM CDT "," Claremore, OK "," Jan 19, 08:39 AM  -  03:30 PM CDT ",,deadhead - distance640.9 mi, live Van - 53 Feet43320 LB Metal Products," $2,063.33 ",no
12744095," Gladwin, MI"," Jan 17, 09:00 AM  -  04:30 PM EDT "," Mcdonough, GA "," Jan 18, 07:00 AM  -  Jan 19, 09:00 AM EDT ",,deadhead - distance872.6 mi, live Van15000 LB Plastics," $2,068.16 ",no
12744024," Mankato, MN"," Jan 17, 08:00 AM  -  11:00 AM CDT "," Houston, TX "," Jan 19, 08:00 AM  -  03:00 PM CDT ",,deadhead - distance1123.7 mi, live Van40984 LB Stone," $2,652.68 ",no
12743971," Peachtree City, GA"," Jan 17, 09:00 AM  -  Jan 18, 01:00 AM EDT "," Carrollton, TX "," Jan 19, 01:00 PM CDT",,deadhead - distance809 mi, live Van - 53 Feet34256 LB Paper," $1,428.63 ",no
12743825," Knox, IN"," Jan 17, 08:00 AM  -  03:00 PM EDT "," Mequon, WI "," Jan 17, 08:00 AM  -  03:00 PM CDT ",,deadhead - distance182 mi, live Van - 53 Feet44990 LB Consumer Goods, $566.96 ,no
12743261," Cincinnati, OH"," Jan 17, 08:00 AM  -  12:00 PM EDT "," Sturtevant, WI "," Jan 17, 09:00 PM CDT",,deadhead - distance378.2 mi, live Van - 53 Feet41190 LB Packaging Mate..., $792.23 ,no
12743255," Nixa, MO"," Jan 17, 08:00 AM  -  01:00 PM CDT "," Mcallen, TX "," Jan 19, 08:00 AM  -  04:00 PM CDT ",,deadhead - distance923.7 mi, live Van20000 LB Freight Of All...," $1,505.14 ",yes
12742961," Eastaboga, AL"," Jan 17, 08:00 AM  -  08:00 PM CDT "," Houston, TX "," Jan 18, 08:00 AM  -  02:30 PM CDT ",,deadhead - distance710.9 mi, live Van - 53 Feet41500 LB Pre Fab Buildi...," $1,204.66 ",no
12742955," Holtsville, NY"," Jan 17, 09:00 AM  -  04:00 PM EDT "," York, PA "," Jan 18, 08:00 AM EDT",,deadhead - distance233.9 mi, live Van44000 LB Paper Products, $685.28 ,no
12742522," Buxton, ND"," Jan 17, 07:00 AM  -  05:00 PM CDT "," Tucson, AZ "," Jan 19, 07:00 AM  -  Jan 20, 04:00 PM MST ",,deadhead - distance1687.3 mi, live Van44000 LB Food Stuffs," $4,427.80 ",yes
12742494," Buxton, ND"," Jan 17, 07:00 AM  -  05:00 PM CDT "," Tucson, AZ "," Jan 19, 07:00 AM  -  Jan 20, 04:00 PM MST ",,deadhead - distance1687.3 mi, live Van44000 LB Food Stuffs," $4,427.80 ",yes
12742471," Eastaboga, AL"," Jan 17, 08:00 AM  -  08:00 PM CDT "," Decatur, AL "," Jan 18, 07:30 AM  -  08:30 AM CDT ",,deadhead - distance111.3 mi, live Van - 53 Feet42000 LB Pre Fab Buildi..., $485.66 ,no
12741675," Springfield, IL"," Jan 17, 08:00 AM  -  03:00 PM CDT "," Calexico, CA "," Jan 20, 08:00 AM  -  04:00 PM PDT ",,deadhead - distance1846.6 mi, live Van or Reefer - 5313000 LB Coffee Stuff," $3,212.22 ",no
12741259," Jackson, MN"," Jan 17, 08:00 AM  -  04:00 PM CDT "," Orangeburg, SC "," Jan 19, 01:00 PM  -  01:00 PM EDT ",,deadhead - distance1314.1 mi, live Van - 53 Feet19000 LB Equipment," $2,328.79 ",no
12741122," Welland, ON"," Jan 17, 08:00 AM  -  02:00 PM EST "," Axis, AL "," Jan 19, 08:00 AM  -  05:00 PM CDT ",,deadhead - distance1164.9 mi, live Flatbed w/Tarps39951 LB Sheets Of Stee...," $3,097.31 ",no
12739526," Rosenberg, TX"," Jan 17, 08:00 AM  -  03:00 PM CDT "," Bedford, TX "," Jan 18, 08:00 AM  -  03:00 PM CDT ",,deadhead - distance274.9 mi, live Van - 53 Feet43500 LB Freight Of All..., $663.65 ,no
12737900," Ontario, CA"," Jan 17, 06:00 AM  -  11:00 AM PDT "," Bellingham, WA "," Jan 19, 11:00 AM PDT",,deadhead - distance1262.9 mi, live Van - 53 Feet40000 LB Automotive Fre...," $3,064.72 ",no
12737720," Clinton, IA"," Jan 17, 08:00 AM  -  04:00 PM CDT "," Saint Louis, MO "," Jan 18, 08:00 AM  -  03:00 PM CDT ",,deadhead - distance285.6 mi, live Cargo Van - 4817942 LB Color Caramel ...," $1,058.66 ",no
12737173," La Crosse, WI"," Jan 17, 08:00 AM  -  03:00 PM CDT "," Russellville, KY "," Jan 18, 12:50 PM CDT",,deadhead - distance692.5 mi, live Van44500 LB Metal," $1,840.42 ",yes
12735760," Houston, MS"," Jan 17, 08:00 AM  -  02:00 PM CDT "," Durant, OK "," Jan 18, 08:00 AM  -  08:00 AM CDT ",,deadhead - distance531.8 mi, live Van - 53 Feet5467 LB Consumer Goods," $1,196.97 ",no
12735748," Houston, MS"," Jan 17, 08:00 AM  -  02:00 PM CDT "," Durant, OK "," Jan 18, 08:00 AM  -  08:00 AM CDT ",,deadhead - distance531.8 mi, live Van - 53 Feet12735 LB Consumer Goods," $1,183.66 ",no
12735539," Carlisle, PA"," Jan 17, 09:00 AM  -  09:00 AM EDT "," West Carrollton, OH "," Jan 18, 12:00 PM EDT", 3 STOPS ,deadhead - distance457.6 mi, live Van - 53 Feet13494 LB Consumer Goods,quick bid,no
12735353," Fort Wayne, IN"," Jan 17, 09:00 AM EDT"," Salem, VA "," Jan 17, 09:45 PM EDT",,deadhead - distance470.5 mi, live Van - 53 Feet43076 LB Food Stuffs," $1,346.74 ",yes
12734421," Nashville, TN"," Jan 17, 08:00 AM  -  02:00 PM CDT "," Stevenson, AL "," Jan 17, 06:00 PM CDT",,deadhead - distance120.8 mi, live Van45000 LB Bales, $517.11 ,yes
12734411," Anniston, AL"," Jan 17, 08:00 AM  -  03:00 PM CDT "," Stevenson, AL "," Jan 17, 06:00 PM CDT",,deadhead - distance111 mi, live Van45000 LB Bales, $446.24 ,no
12734115," Bartlett, IL"," Jan 17, 08:00 AM  -  03:00 PM CDT "," Lakeland, FL "," Jan 19, 09:00 AM  -  10:00 AM EDT ", 1 STOP ,deadhead - distance1224.4 mi, live Van or Reefer - 5340000 LB Automotive Fre...," $2,598.11 ",no
12733398," Fort Madison, IA"," Jan 17, 08:00 AM  -  03:30 PM CDT "," Laredo, TX "," Jan 19, 08:00 AM  -  05:00 PM CDT ",,deadhead - distance1162.9 mi, live Reefer Hazmat39000 LB Hazmat Paint," $2,990.69 ",no
12731582," Memphis, TN"," Jan 17, 08:00 AM CDT"," Detroit, MI "," Jan 18, 09:00 AM EDT",,deadhead - distance734.6 mi, live Van w/ Team25000 LB Line Haul,bid only,no
12731565," Memphis, TN"," Jan 17, 08:00 AM CDT"," Detroit, MI "," Jan 18, 09:00 AM EDT",,deadhead - distance734.6 mi, live Van w/ Team25000 LB Line Haul,bid only,no
12728597," Perry, GA"," Jan 17, 08:00 AM  -  04:00 PM EDT "," Abilene, TX "," Jan 19, 08:00 AM  -  08:00 AM CDT ",,deadhead - distance999.7 mi, live Van - 53 Feet42942 LB Packaging Mate...," $1,668.64 ",no
12727635," Holland, MI"," Jan 17, 09:00 AM EDT"," Leamington, ON "," Jan 18, 08:00 AM EST",,deadhead - distance207.3 mi, live Reefer - 5338301 LB Consumer Goods,quick bid,no
12727384," Winchester, VA"," Jan 17, 09:00 AM  -  09:00 AM EDT "," Farwell, MI "," Jan 18, 11:00 AM  -  11:00 AM EDT ",,deadhead - distance604.7 mi, live Van or Reefer - 5343846 LB Food Stuffs," $1,056.23 ",yes
12726921," Memphis, TN"," Jan 17, 08:00 AM  -  04:00 PM CDT "," Grand Rapids, MI "," Jan 19, 08:00 AM  -  08:00 AM EDT ",,deadhead - distance682.7 mi, live Van - 53 Feet33764 LB Non Hazmat Che...," $1,523.28 ",no
12726645," Melrose, MN"," Jan 17, 08:00 AM  -  03:00 PM CDT "," Chicago, IL "," Jan 18, 09:30 AM  -  12:00 PM CDT ",,deadhead - distance503.4 mi, live Van - 53 Feet5180 LB Totes/drums, $882.99 ,no
12716572," Kansas City, MO"," Jan 17, 08:00 AM  -  12:00 PM CDT "," Solomon, KS "," Jan 17, 12:00 PM  -  04:30 PM CDT ",,deadhead - distance164.7 mi, live Van - 53 Feet25872 LB Carboard Boxes, $572.45 ,no
12707893," Fort Smith, AR"," Jan 17, 08:00 AM  -  06:00 PM CDT "," North Canton, OH "," Jan 19, 10:30 AM EDT",,deadhead - distance931.2 mi," live Van - 53 Feet43554 LB Alcohol, Beer,..."," $1,766.76 ",no
12707842," Fort Smith, AR"," Jan 17, 08:00 AM  -  06:00 PM CDT "," Groveport, OH "," Jan 19, 10:30 AM EDT",,deadhead - distance820.3 mi," live Van - 53 Feet43160 LB Alcohol, Beer,..."," $1,477.55 ",no
12687046," Roscoe, SD"," Jan 17, 08:00 AM CDT"," Lawrence, KS "," Jan 18, 08:00 AM CDT",,deadhead - distance627 mi, live Van41500 LB Consumer Goods,bid only,no
12685778," Dunkirk, NY"," Jan 17, 09:00 AM  -  11:00 AM EDT "," Winchester, KY "," Jan 17, 11:59 PM  -  11:59 PM EDT ",,deadhead - distance474.8 mi, live Van or Reefer - 5343330 LB Food Stuffs," $1,317.54 ",no
12745172," Benton Harbor, MI"," Jan 17, 09:06 AM EDT"," Highland Park, MI "," Jan 17, 05:07 PM EDT",,deadhead - distance183.6 mi, live Van - 53 Feet44000 LB Automotive Fre...,bid only,no
12712940," Mauriceville, TX"," Jan 17, 08:30 AM  -  03:00 PM CDT "," Eagle Pass, TX "," Jan 18, 09:00 AM  -  04:00 PM CDT ",,deadhead - distance440.6 mi, live Van - 53 Feet43848 LB Materials, $829.32 ,no
12744010," Blythe, CA"," Jan 17, 07:00 AM  -  03:00 PM PDT "," Wilmington, CA "," Jan 17, 03:00 PM  -  Jan 18, 02:30 AM PDT ",,deadhead - distance226.1 mi, live Van44000 LB Animal Feed, $579.25 ,no
12742884," Grand Rapids, MI"," Jan 17, 10:00 AM  -  11:00 AM EDT "," Ypsilanti, MI "," Jan 18, 08:00 AM  -  11:30 PM EDT ",,deadhead - distance135.5 mi, drop trailer Van - 53 Feet10200 LB Consumer Goods,bid only,no
